구분,진행단계,등록일,완료일,제품명,핵심키워드,주제,요청내용,요청자,적용,팀참조,해결사,업체 피드백
사후개선,1-2. 개선요청,2026년 5월 20일,,[꿈비] 휴대용 분유포트 분리형,기구개선,뚜껑 누수에 대한 긴급 개선 요청,기구 강도 및 실리콘 두께에 대한 긴급 개선 요구,엄마감동팀 심우승 SQ,,"@엄마감동팀 @혁신상품개발팀 @구매품질팀 ","신상품기획파트 강태헌 파트장, 구매품질팀 오혁진 SQ",
출시전검사,2-3 검사완료,2026년 5월 20일,2026년 5월 20일,[임시] 3세대 휴대용 분유포트 분리형_#2,분해검사,내부 구조 검사,분해검사 진행,신상품기획파트 강태헌 파트장,,"@엄마감동팀 @혁신상품개발팀 ",엄마감동팀 심우승 SQ,
출시전검사,1-5.개선적용,2026년 5월 15일,2026년 5월 19일,[꿈비] 휴대용 분유포트 분리형,기구개선,배터리 조립 단차로 인한 결합력 편차 및 하부캡 덜닫힘 발생중,배터리 조립 단차에 의한 긴급 대책 요구,엄마감동팀 심우승 SQ,"출고검사 강화 (전수검사) 배터리 결합, 파편소리","@구매품질팀 @엄마감동팀 ","신상품기획파트 강태헌 파트장, 구매품질팀 오혁진 SQ",배터리 전수 출고 검사 후 출고 (영상첨부)
출시전검사,2-3 검사완료,2026년 5월 12일,2026년 5월 13일,[임시] 3세대 휴대용 분유포트 분리형_#1,분해검사,내부 구조 검사,분해검사 진행,신상품기획파트 강태헌 파트장,,"@엄마감동팀 @혁신상품개발팀 ",엄마감동팀 심우승 SQ,
사후개선,1-1. 샘플테스트,2026년 5월 12일,,[꿈비] 분유쉐이커,충전사양,5V 2A 개선샘플 측정,충방전 및 작동테스트 진행,구매품질팀 오혁진 SQ,,"@엄마감동팀 @구매품질팀 @혁신상품개발팀 ",엄마감동팀 심우승 SQ,
출시전검사,2-3 검사완료,2026년 4월 30일,,[에르모어] 피코베리 휴대용 분유포트,,설정온도 도달시간 2차검사,,엄마감동팀 심우승 SQ,,,엄마감동팀 심우승 SQ,
출시전검사,2-3 검사완료,2026년 4월 22일,,[에르모어] 피코베리 휴대용 분유포트,,보온유지시간 검사,,엄마감동팀 심우승 SQ,,,엄마감동팀 심우승 SQ,
출시전검사,2-3 검사완료,2026년 4월 10일,,[에르모어] 피코베리 휴대용 분유포트,,설정온도 도달시간 검사,,엄마감동팀 심우승 SQ,,,엄마감동팀 심우승 SQ,
출시전검사,2-3 검사완료,2026년 4월 24일,2026년 4월 24일,[꿈비] NEW 젖병세척기 올 스테인리스,,내부구조파악,구조파악용 분해사진 모음,엄마감동팀 심우승 SQ,,"@엄마감동팀 이대훈SQ ",엄마감동팀 심우승 SQ,
출시전검사,1-4. 개선보완,2026년 4월 23일,2026년 4월 24일,[꿈비] NEW 젖병세척기 올 스테인리스,,"분해검사, 수분관련 전자기기 취약점 체크",물 과주입시 내부로 흘러 배출되는 구조 차단 필요 → 물주입구와 물탱크 결합부 보강 필요,엄마감동팀 심우승 SQ,,"@혁신상품개발팀 @구매품질팀 @엄마감동팀 @팬슈머마케팅팀 ",신상품기획파트 강태헌 파트장,"상단 커버와 물탱크 사이의 갭 구간에 실링 패킹 링을 추가 적용하여, 내부로 물이 유입되지 않는 구조로 개선 예정입니다. 또한 물 과다 주입 시 내부 부품 방향으로 물이 유입되지 않고, 물탱크 주입구 방향으로 자연 배출(오버플로우)되는 구조로 변경 검토 중입니다. (26.05.21)"
